Customer Name,Ticket Open Time,Ticket Resp Time,Issue Res Time,Fault Type,Operator,Ticket Close Time,Ticket Status,Business Status,Zone Desc,State,Channel,Designation,Manager,Resolution SLA (Mins),Resp SLA (Seconds),Resolution Catgory,Response SLA pass,Resolution SLA pass,week_label
Access,2020-12-31 17:07:04,2020-12-31 17:10:20,2020-12-31 20:44:42,Uknown,Tunde,2025-11-16 09:23:19,Active,Open,South-South,ANAMBRA,Social Media,Operator,Victor,214.37,196.0,Critical,fail,fail,week 53
Arik,2020-12-31 09:37:03,2020-12-31 09:47:46,2020-12-31 13:33:02,Customers End,Tunde,2020-12-31 22:04:39,Completed,Closed,South-West,LAGOS,Social Media,Operator,Victor,225.27,643.0,Critical,fail,fail,week 53
Arik,2020-12-31 08:31:04,2020-12-31 08:40:34,2020-12-31 14:14:19,Customers End,Habeeb,2021-01-01 07:25:36,Completed,Closed,South-West,LAGOS,Social Media,Operator,Victor,333.75,570.0,Critical,fail,fail,week 53
Arik,2020-12-31 07:52:07,2020-12-31 07:59:52,2020-12-31 12:15:13,Customers End,John,2020-12-31 21:59:53,Completed,Closed,South-West,LAGOS,Social Media,Operator,Victor,255.35,465.0,Critical,fail,fail,week 53
Arik,2020-12-30 10:43:06,2020-12-30 10:43:15,2020-12-30 14:46:01,Customers End,Habeeb,2020-12-30 11:18:14,Completed,Closed,South-West,LAGOS,Social Media,Operator,Victor,242.77,9.0,Critical,pass,fail,week 53
Arik,2020-12-30 09:28:04,2020-12-30 09:28:43,2020-12-30 13:52:19,Customers End,John,2020-12-30 11:00:57,Completed,Closed,South-West,LAGOS,Social Media,Operator,Victor,263.6,39.0,Critical,fail,fail,week 53
Arik,2020-12-30 04:28:09,2020-12-30 04:33:37,2020-12-30 09:14:13,Customers End,Popoola,2020-12-30 05:10:01,Completed,Closed,South-West,LAGOS,Social Media,Operator,Seun,280.6,328.0,Critical,fail,fail,week 53
Arik,2020-12-29 22:37:03,2020-12-29 22:39:20,2020-12-30 02:11:30,Customers End,Paul,2020-12-30 05:07:38,Completed,Closed,South-West,LAGOS,Social Media,Operator,Seun,212.17,137.0,Critical,fail,fail,week 53
Bates,2020-12-31 10:34:06,2020-12-31 10:43:18,2020-12-31 14:11:40,Routine Service,Sekina,2020-12-31 14:37:33,Completed,Closed,South-South,DELTA,Social Media,Operator,Victor,208.37,552.0,Critical,fail,fail,week 53
Bates,2020-12-31 09:13:03,2020-12-31 09:19:20,2020-12-31 14:31:33,Routine Service,Tunde,2021-01-01 07:26:00,Completed,Closed,South-South,DELTA,Social Media,Operator,Victor,312.22,377.0,Critical,fail,fail,week 53
Bates,2020-12-29 18:22:04,2020-12-29 18:28:17,2020-12-29 23:59:44,Customers End,John,2020-12-30 17:23:54,Completed,Closed,South-South,DELTA,Social Media,Operator,Victor,331.45,373.0,Critical,fail,fail,week 53
Cassava,2020-12-31 04:28:09,2020-12-31 04:36:27,2020-12-31 09:21:46,Customers End,Bola,2020-12-31 21:41:37,Completed,Closed,North-West,KADUNA,Social Media,Operator,Victor,285.32,498.0,Critical,fail,fail,week 53
Cassava,2020-12-31 16:49:03,2020-12-31 16:50:37,2020-12-31 20:54:02,Uknown,Atiku,2025-11-16 09:23:19,Active,Open,South-South,ANAMBRA,Social Media,Operator,Victor,243.42,94.0,Critical,fail,fail,week 53
Cassava,2020-12-31 23:04:11,2020-12-31 23:12:32,2021-01-01 04:36:11,Line damage,Amelia,2021-01-01 06:24:11,Completed,Closed,North-Central,NASARAWA,Social Media,Operator,Kerry,323.65,501.0,Critical,fail,fail,week 53
Cassava,2020-12-31 21:28:05,2020-12-31 21:32:19,2021-01-01 00:37:59,Customers End,Boye,2021-01-02 06:33:20,Completed,Closed,North-West,KANO,Social Media,Operator,Wale,185.67,254.0,Critical,fail,fail,week 53
Cassava,2020-12-30 21:34:06,2020-12-30 21:34:25,2020-12-31 01:00:04,Customers End,Amelia,2020-12-31 07:54:14,Completed,Closed,North-West,KANO,Social Media,Operator,Kerry,205.65,19.0,Critical,fail,fail,week 53
Cassava,2020-12-29 20:40:07,2020-12-29 20:45:30,2020-12-30 00:50:53,Customers End,Sheg,2020-12-30 13:06:54,Completed,Closed,North-West,KANO,Social Media,Operator,Seun,245.38,323.0,Critical,fail,fail,week 53
Cassava,2020-12-30 18:22:30,2020-12-30 18:24:54,2020-12-30 21:54:26,hardware failure,Amelia,2020-12-30 23:04:29,Completed,Closed,South-South,RIVERS,Social Media,Operator,Kerry,209.53,144.0,Critical,fail,fail,week 53
Cassava,2020-12-30 20:38:50,2020-12-30 20:48:33,2020-12-31 01:12:02,Customers End,Goodluck,2020-12-31 07:54:41,Completed,Closed,South-East,ENUGU,Chatbot,Operator,Kerry,263.48,583.0,Critical,fail,fail,week 53
Cassava,2020-12-30 08:12:26,2020-12-30 08:15:49,2020-12-30 12:55:23,hardware failure,Jonathan,2020-12-30 23:57:59,Completed,Closed,South-East,ABIA,WebForm,Operator,Kerry,279.57,203.0,Critical,fail,fail,week 53
Cassava,2020-12-30 16:30:45,2020-12-30 16:37:26,2020-12-30 21:05:30,Line damage,Atiku,2020-12-30 23:49:40,Completed,Closed,South-West,ONDO,Phone Call,Operator,Victor,268.07,401.0,Critical,fail,fail,week 53
Cassava,2020-12-29 11:31:14,2020-12-29 11:40:52,2020-12-29 16:02:05,Line damage,Kingsley,2020-12-29 14:37:34,Completed,Closed,South-East,ABIA,USSD,Operator,Kerry,261.22,578.0,Critical,fail,fail,week 53
Cassava,2020-12-31 20:49:22,2020-12-31 20:55:52,2021-01-01 01:59:30,Customers End,Sola,2021-01-02 06:14:01,Completed,Closed,South-East,IMO,Social Media,Operator,Wale,303.63,390.0,Critical,fail,fail,week 53
Cassava,2020-12-30 21:49:06,2020-12-30 21:55:37,2020-12-31 02:39:18,Customers End,Atiku,2020-12-31 21:17:45,Completed,Closed,South-East,IMO,Social Media,Operator,Victor,283.68,391.0,Critical,fail,fail,week 53
Chan,2020-12-30 05:13:06,2020-12-30 05:15:19,2020-12-30 08:23:35,Customers End,Sherifat,2020-12-30 17:24:00,Completed,Closed,South-West,OYO,Social Media,Operator,Victor,188.27,133.0,Critical,fail,fail,week 53
CL,2020-12-30 02:13:08,2020-12-30 02:17:45,2020-12-30 06:30:22,Customers End,Tunde,2021-01-02 06:08:32,Completed,Closed,North-Central,NASARAWA,Social Media,Operator,Victor,252.62,277.0,Critical,fail,fail,week 53
CL,2020-12-30 01:31:14,2020-12-30 01:31:44,2020-12-30 05:42:23,Line damage,Segun,2020-12-30 05:08:49,Completed,Closed,North-Central,NASARAWA,Social Media,Operator,Seun,250.65,30.0,Critical,fail,fail,week 53
Cho,2020-12-31 17:19:04,2020-12-31 17:27:17,2020-12-31 21:07:45,Line damage,Jennifer,2021-01-01 07:03:33,Completed,Closed,North-East,BAUCHI,Social Media,Operator,Kerry,220.47,493.0,Critical,fail,fail,week 53
Dana,2020-12-29 15:46:11,2020-12-29 15:49:59,2020-12-29 20:16:40,hardware failure,Sekina,2021-01-02 06:24:31,Completed,Closed,North-East,BORNO,Social Media,Operator,Victor,266.68,228.0,Critical,fail,fail,week 53
Dang,2020-12-29 21:01:03,2020-12-29 21:01:44,2020-12-30 01:41:21,Uknown,Habeeb,2025-11-16 09:23:19,Terminated,Terminated,North-East,GOMBE,Social Media,Operator,Victor,279.62,41.0,Critical,fail,fail,week 53
Dan,2020-12-31 03:22:04,2020-12-31 03:22:48,2020-12-31 08:48:32,Customers End,Kingsley,2021-01-01 07:25:58,Completed,Closed,South-East,ENUGU,Social Media,Operator,Kerry,325.73,44.0,Critical,fail,fail,week 53
Dan,2020-12-30 07:19:06,2020-12-30 07:20:49,2020-12-30 12:45:35,Customers End,Bola,2020-12-30 12:41:34,Completed,Closed,South-East,ENUGU,Social Media,Operator,Victor,324.77,103.0,Critical,fail,fail,week 53
Dan,2020-12-29 13:13:06,2020-12-29 13:13:38,2020-12-29 16:26:59,Customers End,Jonathan,2020-12-29 21:36:57,Completed,Closed,South-East,ENUGU,Social Media,Operator,Kerry,193.35,32.0,Critical,fail,fail,week 53
Dan,2020-12-31 19:52:06,2020-12-31 19:56:13,2021-01-01 01:07:28,Routine Service,Mary,2021-01-02 06:35:51,Completed,Closed,North-East,BORNO,Social Media,Operator,Wale,311.25,247.0,Critical,fail,fail,week 53
Dan,2020-12-31 10:34:04,2020-12-31 10:38:11,2020-12-31 16:21:33,Customers End,Sekina,2021-01-01 07:17:05,Completed,Closed,North-East,BORNO,Social Media,Operator,Victor,343.37,247.0,Critical,fail,fail,week 53
Diamond,2020-12-31 14:34:04,2020-12-31 14:36:09,2020-12-31 19:02:31,Customers End,Mary,2021-01-02 06:45:37,Completed,Closed,North-West,KADUNA,Social Media,Operator,Wale,266.37,125.0,Critical,fail,fail,week 53
Lemway,2020-12-31 22:19:06,2020-12-31 22:26:51,2021-01-01 02:31:07,Uknown,Bola,2025-11-16 09:23:19,Active,Open,North-West,KANO,Social Media,Operator,Victor,244.27,465.0,Critical,fail,fail,week 53
Lemway,2020-12-29 17:13:08,2020-12-29 17:19:13,2020-12-29 21:00:54,Customers End,Sekina,2020-12-30 14:56:55,Completed,Closed,North-West,KANO,Social Media,Operator,Victor,221.68,365.0,Critical,fail,fail,week 53
Lemway,2020-12-30 05:34:07,2020-12-30 05:35:55,2020-12-30 08:48:12,Routine Service,Jonathan,2020-12-30 17:22:20,Completed,Closed,North-West,KANO,Social Media,Operator,Kerry,192.28,108.0,Critical,fail,fail,week 53
Lemway,2020-12-29 17:19:04,2020-12-29 17:29:18,2020-12-29 22:53:03,Customers End,Sheg,2020-12-30 05:14:23,Completed,Closed,North-West,KANO,Social Media,Operator,Seun,323.75,614.0,Critical,fail,fail,week 53
Lemway,2020-12-29 12:49:04,2020-12-29 12:58:17,2020-12-29 16:19:40,Customers End,Sheg,2020-12-29 21:38:30,Completed,Closed,North-West,KANO,Social Media,Operator,Seun,201.38,553.0,Critical,fail,fail,week 53
Lemway,2020-12-31 17:37:07,2020-12-31 17:47:30,2020-12-31 20:59:10,Uknown,Ore,2025-11-16 09:23:19,Active,Open,North-West,SOKOTO,Social Media,Operator,Seun,191.67,623.0,Critical,fail,fail,week 53
Lemway,2020-12-31 15:28:03,2020-12-31 15:36:51,2020-12-31 19:52:15,Customers End,Kola,2021-01-02 06:44:52,Completed,Closed,North-West,SOKOTO,Social Media,Operator,Wale,255.4,528.0,Critical,fail,fail,week 53
